#Parameters = {L=3.2; L_2=4.4; L_3=6.8; L_4=9.2; L_max=10.4; L_min=3.2; Nx=4; Ny=12; a=5.0729589590734; bend_r=0.15; cl1=0.5375; cl2=2.075; cl3=2.0375; cl4=0.3625; cl5=0; cl6=0; cl7=0; cl8=0; cu=0.018; d=0.945; db_l=0.4; db_neck_l=2.4; db_w=1.05; eps_r=3.55; f0=27; f_W=1; f_c=28; fmax=32; fmin=22; gap_x=0.1768320121146; gap_y=0.2; grid_g=0.052693488694766; grid_l=1.0471997246251; grid_w=0.36566196717012; h1=0.762; h2=0.254; line_gap=0.25; m_l=0.4; m_w=0.7; mic_w=0.25; mu_r=1; pitch_x=1.2240317367397; pitch_y=0.41835545586489; rx_slot1=-0.945; rx_slot2=0.945; s_center=0.875; sigma_cu=58000000; slot_dumbbell_l=0.4; slot_dumbbell_w=0.7; slot_end_r=0.15; slot_l=3.2; slot_w=0.6; tanD=0.0027; total_stack_h=2.122; total_x=4.7192949348442; total_y=4.9675719816839; ttdA_x0=-0.945; ttdA_x1=-1.4825; ttdA_x2=-1.4825; ttdA_x3=0.555; ttdA_x4=0.555; ttdA_y0=0; ttdA_y1=0; ttdA_y2=-2.075; ttdA_y3=-2.075; ttdA_y4=-1.7125; ttdA_z=1.061; ttd_w=0.25; ttd_x1=-0.945; ttd_x2=-0.945; ttd_x3=1.13; ttd_x4=1.13; ttd_x5=0.7675; ttd_xc=-0.945; ttd_y1=-1.6; ttd_y2=-1.0625; ttd_y3=-1.0625; ttd_y4=0.975; ttd_y5=0.975; ttd_yc=0; ttd_zmax=1.07; ttd_zmid=1.061; ttd_zmin=1.052; tx_Nx=12; tx_Ny=4; tx_gap_y=0.1768320121146; tx_pitch_x=0.41835545586489; tx_pitch_y=1.2240317367397; tx_slot1=-0.945; tx_slot2=0.945; x_last_max=2.4480634734794; x_start=-2.4480634734794; y_start=-2.4837859908419; z_L1=0; z_L10=2.122; z_L2=0.018; z_L3=0.78; z_L4=0.798; z_L5=1.052; z_L6=1.07; z_L7=1.324; z_L8=1.342; z_L9=2.104; z_air_bot=-3; z_air_top=5.122}
#"Frequency / GHz"	"SZmax(1),Zmin(2) [Phase / deg]"
#--------------------------------------------------
23.610000000000	163.70252328874
23.620000000000	163.33376624678
23.630000000000	162.96531475121
23.640000000000	162.59716505967
23.650000000000	162.22931341741
23.660000000000	161.86175605743
23.670000000000	161.49448920063
23.680000000000	161.12750905595
23.690000000000	160.76081182054
23.700000000000	160.39439367987
23.710000000000	160.02825080791
23.720000000000	159.66237936722
23.730000000000	159.29677550912
23.740000000000	158.93143537381
23.750000000000	158.56635509051
23.760000000000	158.20153077756
23.770000000000	157.83695854259
23.780000000000	157.47263448259
23.790000000000	157.10855468407
23.800000000000	156.74471522317
23.810000000000	156.38111216576
23.820000000000	156.01774156759
23.830000000000	155.65459947434
23.840000000000	155.29168192181
23.850000000000	154.92898493595
23.860000000000	154.56650453301
23.870000000000	154.20423671966
23.880000000000	153.84217749304
23.890000000000	153.48032284089
23.900000000000	153.11866874165
23.910000000000	152.75721116456
23.920000000000	152.39594606973
23.930000000000	152.03486940826
23.940000000000	151.67397712233
23.950000000000	151.31326514527
23.960000000000	150.95272940166
23.970000000000	150.59236580743
23.980000000000	150.23217026991
23.990000000000	149.87213868798
24.000000000000	149.51226695207
24.010000000000	149.15255094429
24.020000000000	148.79298653853
24.030000000000	148.43356960049
24.040000000000	148.07429598778
24.050000000000	147.71516155002
24.060000000000	147.35616212888
24.070000000000	146.99729355818
24.080000000000	146.63855166394
24.090000000000	146.27993226449
24.100000000000	145.92143117052
24.110000000000	145.56304418515
24.120000000000	145.20476710401
24.130000000000	144.84659571530
24.140000000000	144.48852579990
24.150000000000	144.13055313137
24.160000000000	143.77267347610
24.170000000000	143.41488259332
24.180000000000	143.05717623517
24.190000000000	142.69955014683
24.200000000000	142.34200006653
24.210000000000	141.98452172562
24.220000000000	141.62711084868
24.230000000000	141.26976315355
24.240000000000	140.91247435143
24.250000000000	140.55524014690
24.260000000000	140.19805623806
24.270000000000	139.84091831654
24.280000000000	139.48382206759
24.290000000000	139.12676317018
24.300000000000	138.76973729701
24.310000000000	138.41274011463
24.320000000000	138.05576728351
24.330000000000	137.69881445807
24.340000000000	137.34187728682
24.350000000000	136.98495141237
24.360000000000	136.62803247156
24.370000000000	136.27111609549
24.380000000000	135.91419790963
24.390000000000	135.55727353389
